"area","year","month","制御があった日数"
"chubu",2016,4,0
"chubu",2016,5,0
"chubu",2016,6,0
"chubu",2016,7,0
"chubu",2016,8,0
"chubu",2016,9,0
"chubu",2016,10,0
"chubu",2016,11,0
"chubu",2016,12,0
"chubu",2017,1,0
"chubu",2017,2,0
"chubu",2017,3,0
"chubu",2017,4,0
"chubu",2017,5,0
"chubu",2017,6,0
"chubu",2017,7,0
"chubu",2017,8,0
"chubu",2017,9,0
"chubu",2017,10,0
"chubu",2017,11,0
"chubu",2017,12,0
"chubu",2018,1,0
"chubu",2018,2,0
"chubu",2018,3,0
"chubu",2018,4,0
"chubu",2018,5,0
"chubu",2018,6,0
"chubu",2018,7,0
"chubu",2018,8,0
"chubu",2018,9,0
"chubu",2018,10,0
"chubu",2018,11,0
"chubu",2018,12,0
"chubu",2019,1,0
"chubu",2019,2,0
"chubu",2019,3,0
"chubu",2019,4,0
"chubu",2019,5,0
"chubu",2019,6,0
"chubu",2019,7,0
"chubu",2019,8,0
"chubu",2019,9,0
"chubu",2019,10,0
"chubu",2019,11,0
"chubu",2019,12,0
"chubu",2020,1,0
"chubu",2020,2,0
"chubu",2020,3,0
"chubu",2020,4,0
"chubu",2020,5,0
"chubu",2020,6,0
"chubu",2020,7,0
"chubu",2020,8,0
"chubu",2020,9,0
"chubu",2020,10,0
"chubu",2020,11,0
"chubu",2020,12,0
"chubu",2021,1,0
"chubu",2021,2,0
"chubu",2021,3,0
"chubu",2021,4,0
"chubu",2021,5,0
"chubu",2021,6,0
"chubu",2021,7,0
"chubu",2021,8,0
"chubu",2021,9,0
"chubu",2021,10,0
"chubu",2021,11,0
"chubu",2021,12,0
"chubu",2022,1,0
"chubu",2022,2,0
"chubu",2022,3,0
"chubu",2022,4,0
"chubu",2022,5,0
"chubu",2022,6,0
"chubu",2022,7,0
"chubu",2022,8,0
"chubu",2022,9,0
"chubu",2022,10,0
"chubu",2022,11,0
"chubu",2022,12,0
"chubu",2023,1,0
"chubu",2023,2,0
"chubu",2023,3,0
"chubu",2023,4,5
"chubu",2023,5,5
"chubu",2023,6,2
"chubu",2023,7,0
"chubu",2023,8,0
"chubu",2023,9,0
"chubu",2023,10,0
"chubu",2023,11,0
"chubu",2023,12,0
"chugoku",2016,4,0
"chugoku",2016,5,0
"chugoku",2016,6,0
"chugoku",2016,7,0
"chugoku",2016,8,0
"chugoku",2016,9,0
"chugoku",2016,10,0
"chugoku",2016,11,0
"chugoku",2016,12,0
"chugoku",2017,1,0
"chugoku",2017,2,0
"chugoku",2017,3,0
"chugoku",2017,4,0
"chugoku",2017,5,0
"chugoku",2017,6,0
"chugoku",2017,7,0
"chugoku",2017,8,0
"chugoku",2017,9,0
"chugoku",2017,10,0
"chugoku",2017,11,0
"chugoku",2017,12,0
"chugoku",2018,1,0
"chugoku",2018,2,0
"chugoku",2018,3,0
"chugoku",2018,4,0
"chugoku",2018,5,0
"chugoku",2018,6,0
"chugoku",2018,7,0
"chugoku",2018,8,0
"chugoku",2018,9,0
"chugoku",2018,10,0
"chugoku",2018,11,0
"chugoku",2018,12,0
"chugoku",2019,1,0
"chugoku",2019,2,0
"chugoku",2019,3,0
"chugoku",2019,4,0
"chugoku",2019,5,0
"chugoku",2019,6,0
"chugoku",2019,7,0
"chugoku",2019,8,0
"chugoku",2019,9,0
"chugoku",2019,10,0
"chugoku",2019,11,0
"chugoku",2019,12,0
"chugoku",2020,1,0
"chugoku",2020,2,0
"chugoku",2020,3,0
"chugoku",2020,4,0
"chugoku",2020,5,0
"chugoku",2020,6,0
"chugoku",2020,7,0
"chugoku",2020,8,0
"chugoku",2020,9,0
"chugoku",2020,10,0
"chugoku",2020,11,0
"chugoku",2020,12,0
"chugoku",2021,1,0
"chugoku",2021,2,0
"chugoku",2021,3,0
"chugoku",2021,4,0
"chugoku",2021,5,0
"chugoku",2021,6,0
"chugoku",2021,7,0
"chugoku",2021,8,0
"chugoku",2021,9,0
"chugoku",2021,10,0
"chugoku",2021,11,0
"chugoku",2021,12,0
"chugoku",2022,1,0
"chugoku",2022,2,0
"chugoku",2022,3,0
"chugoku",2022,4,2
"chugoku",2022,5,5
"chugoku",2022,6,0
"chugoku",2022,7,0
"chugoku",2022,8,0
"chugoku",2022,9,0
"chugoku",2022,10,2
"chugoku",2022,11,0
"chugoku",2022,12,0
"chugoku",2023,1,0
"chugoku",2023,2,0
"chugoku",2023,3,8
"chugoku",2023,4,18
"chugoku",2023,5,18
"chugoku",2023,6,5
"chugoku",2023,7,0
"chugoku",2023,8,0
"chugoku",2023,9,0
"chugoku",2023,10,4
"chugoku",2023,11,1
"chugoku",2023,12,1
"hokkaido",2016,4,0
"hokkaido",2016,5,0
"hokkaido",2016,6,0
"hokkaido",2016,7,0
"hokkaido",2016,8,0
"hokkaido",2016,9,0
"hokkaido",2016,10,0
"hokkaido",2016,11,0
"hokkaido",2016,12,0
"hokkaido",2017,1,0
"hokkaido",2017,2,0
"hokkaido",2017,3,0
"hokkaido",2017,4,0
"hokkaido",2017,5,0
"hokkaido",2017,6,0
"hokkaido",2017,7,0
"hokkaido",2017,8,0
"hokkaido",2017,9,0
"hokkaido",2017,10,0
"hokkaido",2017,11,0
"hokkaido",2017,12,0
"hokkaido",2018,1,0
"hokkaido",2018,2,0
"hokkaido",2018,3,0
"hokkaido",2018,4,0
"hokkaido",2018,5,0
"hokkaido",2018,6,0
"hokkaido",2018,7,0
"hokkaido",2018,8,0
"hokkaido",2018,9,0
"hokkaido",2018,10,0
"hokkaido",2018,11,0
"hokkaido",2018,12,0
"hokkaido",2019,1,0
"hokkaido",2019,2,0
"hokkaido",2019,3,0
"hokkaido",2019,4,0
"hokkaido",2019,5,0
"hokkaido",2019,6,0
"hokkaido",2019,7,0
"hokkaido",2019,8,0
"hokkaido",2019,9,0
"hokkaido",2019,10,0
"hokkaido",2019,11,0
"hokkaido",2019,12,0
"hokkaido",2020,1,0
"hokkaido",2020,2,0
"hokkaido",2020,3,0
"hokkaido",2020,4,0
"hokkaido",2020,5,0
"hokkaido",2020,6,0
"hokkaido",2020,7,0
"hokkaido",2020,8,0
"hokkaido",2020,9,0
"hokkaido",2020,10,0
"hokkaido",2020,11,0
"hokkaido",2020,12,0
"hokkaido",2021,1,0
"hokkaido",2021,2,0
"hokkaido",2021,3,0
"hokkaido",2021,4,0
"hokkaido",2021,5,0
"hokkaido",2021,6,0
"hokkaido",2021,7,0
"hokkaido",2021,8,0
"hokkaido",2021,9,0
"hokkaido",2021,10,0
"hokkaido",2021,11,0
"hokkaido",2021,12,0
"hokkaido",2022,1,0
"hokkaido",2022,2,0
"hokkaido",2022,3,0
"hokkaido",2022,4,0
"hokkaido",2022,5,2
"hokkaido",2022,6,0
"hokkaido",2022,7,0
"hokkaido",2022,8,1
"hokkaido",2022,9,2
"hokkaido",2022,10,0
"hokkaido",2022,11,0
"hokkaido",2022,12,0
"hokkaido",2023,1,0
"hokkaido",2023,2,0
"hokkaido",2023,3,0
"hokkaido",2023,4,0
"hokkaido",2023,5,0
"hokkaido",2023,6,0
"hokkaido",2023,7,0
"hokkaido",2023,8,0
"hokkaido",2023,9,0
"hokkaido",2023,10,2
"hokkaido",2023,11,0
"hokkaido",2023,12,0
"hokuriku",2016,4,0
"hokuriku",2016,5,0
"hokuriku",2016,6,0
"hokuriku",2016,7,0
"hokuriku",2016,8,0
"hokuriku",2016,9,0
"hokuriku",2016,10,0
"hokuriku",2016,11,0
"hokuriku",2016,12,0
"hokuriku",2017,1,0
"hokuriku",2017,2,0
"hokuriku",2017,3,0
"hokuriku",2017,4,0
"hokuriku",2017,5,0
"hokuriku",2017,6,0
"hokuriku",2017,7,0
"hokuriku",2017,8,0
"hokuriku",2017,9,0
"hokuriku",2017,10,0
"hokuriku",2017,11,0
"hokuriku",2017,12,0
"hokuriku",2018,1,0
"hokuriku",2018,2,0
"hokuriku",2018,3,0
"hokuriku",2018,4,0
"hokuriku",2018,5,0
"hokuriku",2018,6,0
"hokuriku",2018,7,0
"hokuriku",2018,8,0
"hokuriku",2018,9,0
"hokuriku",2018,10,0
"hokuriku",2018,11,0
"hokuriku",2018,12,0
"hokuriku",2019,1,0
"hokuriku",2019,2,0
"hokuriku",2019,3,0
"hokuriku",2019,4,0
"hokuriku",2019,5,0
"hokuriku",2019,6,0
"hokuriku",2019,7,0
"hokuriku",2019,8,0
"hokuriku",2019,9,0
"hokuriku",2019,10,0
"hokuriku",2019,11,0
"hokuriku",2019,12,0
"hokuriku",2020,1,0
"hokuriku",2020,2,0
"hokuriku",2020,3,0
"hokuriku",2020,4,0
"hokuriku",2020,5,0
"hokuriku",2020,6,0
"hokuriku",2020,7,0
"hokuriku",2020,8,0
"hokuriku",2020,9,0
"hokuriku",2020,10,0
"hokuriku",2020,11,0
"hokuriku",2020,12,0
"hokuriku",2021,1,0
"hokuriku",2021,2,0
"hokuriku",2021,3,0
"hokuriku",2021,4,0
"hokuriku",2021,5,0
"hokuriku",2021,6,0
"hokuriku",2021,7,0
"hokuriku",2021,8,0
"hokuriku",2021,9,0
"hokuriku",2021,10,0
"hokuriku",2021,11,0
"hokuriku",2021,12,0
"hokuriku",2022,1,0
"hokuriku",2022,2,0
"hokuriku",2022,3,0
"hokuriku",2022,4,0
"hokuriku",2022,5,0
"hokuriku",2022,6,0
"hokuriku",2022,7,0
"hokuriku",2022,8,0
"hokuriku",2022,9,0
"hokuriku",2022,10,0
"hokuriku",2022,11,0
"hokuriku",2022,12,0
"hokuriku",2023,1,0
"hokuriku",2023,2,0
"hokuriku",2023,3,0
"hokuriku",2023,4,5
"hokuriku",2023,5,5
"hokuriku",2023,6,2
"hokuriku",2023,7,0
"hokuriku",2023,8,0
"hokuriku",2023,9,0
"hokuriku",2023,10,0
"hokuriku",2023,11,0
"hokuriku",2023,12,0
"kansai",2016,4,0
"kansai",2016,5,0
"kansai",2016,6,0
"kansai",2016,7,0
"kansai",2016,8,0
"kansai",2016,9,0
"kansai",2016,10,0
"kansai",2016,11,0
"kansai",2016,12,0
"kansai",2017,1,0
"kansai",2017,2,0
"kansai",2017,3,0
"kansai",2017,4,0
"kansai",2017,5,0
"kansai",2017,6,0
"kansai",2017,7,0
"kansai",2017,8,0
"kansai",2017,9,0
"kansai",2017,10,0
"kansai",2017,11,0
"kansai",2017,12,0
"kansai",2018,1,0
"kansai",2018,2,0
"kansai",2018,3,0
"kansai",2018,4,0
"kansai",2018,5,0
"kansai",2018,6,0
"kansai",2018,7,0
"kansai",2018,8,0
"kansai",2018,9,0
"kansai",2018,10,0
"kansai",2018,11,0
"kansai",2018,12,0
"kansai",2019,1,0
"kansai",2019,2,0
"kansai",2019,3,0
"kansai",2019,4,0
"kansai",2019,5,0
"kansai",2019,6,0
"kansai",2019,7,0
"kansai",2019,8,0
"kansai",2019,9,0
"kansai",2019,10,0
"kansai",2019,11,0
"kansai",2019,12,0
"kansai",2020,1,0
"kansai",2020,2,0
"kansai",2020,3,0
"kansai",2020,4,0
"kansai",2020,5,0
"kansai",2020,6,0
"kansai",2020,7,0
"kansai",2020,8,0
"kansai",2020,9,0
"kansai",2020,10,0
"kansai",2020,11,0
"kansai",2020,12,0
"kansai",2021,1,0
"kansai",2021,2,0
"kansai",2021,3,0
"kansai",2021,4,0
"kansai",2021,5,0
"kansai",2021,6,0
"kansai",2021,7,0
"kansai",2021,8,0
"kansai",2021,9,0
"kansai",2021,10,0
"kansai",2021,11,0
"kansai",2021,12,0
"kansai",2022,1,0
"kansai",2022,2,0
"kansai",2022,3,0
"kansai",2022,4,1
"kansai",2022,5,4
"kansai",2022,6,0
"kansai",2022,7,0
"kansai",2022,8,0
"kansai",2022,9,0
"kansai",2022,10,0
"kansai",2022,11,0
"kansai",2022,12,0
"kansai",2023,1,0
"kansai",2023,2,0
"kansai",2023,3,3
"kansai",2023,4,15
"kansai",2023,5,12
"kansai",2023,6,4
"kansai",2023,7,1
"kansai",2023,8,0
"kansai",2023,9,0
"kansai",2023,10,2
"kansai",2023,11,0
"kansai",2023,12,1
"kyushu",2016,4,0
"kyushu",2016,5,0
"kyushu",2016,6,0
"kyushu",2016,7,0
"kyushu",2016,8,0
"kyushu",2016,9,0
"kyushu",2016,10,0
"kyushu",2016,11,0
"kyushu",2016,12,0
"kyushu",2017,1,0
"kyushu",2017,2,0
"kyushu",2017,3,0
"kyushu",2017,4,0
"kyushu",2017,5,0
"kyushu",2017,6,0
"kyushu",2017,7,0
"kyushu",2017,8,0
"kyushu",2017,9,0
"kyushu",2017,10,0
"kyushu",2017,11,0
"kyushu",2017,12,0
"kyushu",2018,1,0
"kyushu",2018,2,0
"kyushu",2018,3,0
"kyushu",2018,4,0
"kyushu",2018,5,0
"kyushu",2018,6,0
"kyushu",2018,7,0
"kyushu",2018,8,0
"kyushu",2018,9,0
"kyushu",2018,10,4
"kyushu",2018,11,4
"kyushu",2018,12,0
"kyushu",2019,1,9
"kyushu",2019,2,5
"kyushu",2019,3,20
"kyushu",2019,4,20
"kyushu",2019,5,18
"kyushu",2019,6,10
"kyushu",2019,7,0
"kyushu",2019,8,0
"kyushu",2019,9,0
"kyushu",2019,10,8
"kyushu",2019,11,14
"kyushu",2019,12,3
"kyushu",2020,1,6
"kyushu",2020,2,17
"kyushu",2020,3,19
"kyushu",2020,4,27
"kyushu",2020,5,22
"kyushu",2020,6,4
"kyushu",2020,7,0
"kyushu",2020,8,0
"kyushu",2020,9,4
"kyushu",2020,10,11
"kyushu",2020,11,5
"kyushu",2020,12,1
"kyushu",2021,1,2
"kyushu",2021,2,10
"kyushu",2021,3,19
"kyushu",2021,4,23
"kyushu",2021,5,15
"kyushu",2021,6,3
"kyushu",2021,7,1
"kyushu",2021,8,0
"kyushu",2021,9,4
"kyushu",2021,10,12
"kyushu",2021,11,14
"kyushu",2021,12,5
"kyushu",2022,1,6
"kyushu",2022,2,6
"kyushu",2022,3,19
"kyushu",2022,4,24
"kyushu",2022,5,19
"kyushu",2022,6,6
"kyushu",2022,7,1
"kyushu",2022,8,1
"kyushu",2022,9,3
"kyushu",2022,10,19
"kyushu",2022,11,12
"kyushu",2022,12,9
"kyushu",2023,1,12
"kyushu",2023,2,19
"kyushu",2023,3,24
"kyushu",2023,4,22
"kyushu",2023,5,27
"kyushu",2023,6,11
"kyushu",2023,7,0
"kyushu",2023,8,1
"kyushu",2023,9,6
"kyushu",2023,10,25
"kyushu",2023,11,16
"kyushu",2023,12,7
"shikoku",2016,4,0
"shikoku",2016,5,0
"shikoku",2016,6,0
"shikoku",2016,7,0
"shikoku",2016,8,0
"shikoku",2016,9,0
"shikoku",2016,10,0
"shikoku",2016,11,0
"shikoku",2016,12,0
"shikoku",2017,1,0
"shikoku",2017,2,0
"shikoku",2017,3,0
"shikoku",2017,4,0
"shikoku",2017,5,0
"shikoku",2017,6,0
"shikoku",2017,7,0
"shikoku",2017,8,0
"shikoku",2017,9,0
"shikoku",2017,10,0
"shikoku",2017,11,0
"shikoku",2017,12,0
"shikoku",2018,1,0
"shikoku",2018,2,0
"shikoku",2018,3,0
"shikoku",2018,4,0
"shikoku",2018,5,0
"shikoku",2018,6,0
"shikoku",2018,7,0
"shikoku",2018,8,0
"shikoku",2018,9,0
"shikoku",2018,10,0
"shikoku",2018,11,0
"shikoku",2018,12,0
"shikoku",2019,1,0
"shikoku",2019,2,0
"shikoku",2019,3,0
"shikoku",2019,4,0
"shikoku",2019,5,0
"shikoku",2019,6,0
"shikoku",2019,7,0
"shikoku",2019,8,0
"shikoku",2019,9,0
"shikoku",2019,10,0
"shikoku",2019,11,0
"shikoku",2019,12,0
"shikoku",2020,1,0
"shikoku",2020,2,0
"shikoku",2020,3,0
"shikoku",2020,4,0
"shikoku",2020,5,0
"shikoku",2020,6,0
"shikoku",2020,7,0
"shikoku",2020,8,0
"shikoku",2020,9,0
"shikoku",2020,10,0
"shikoku",2020,11,0
"shikoku",2020,12,0
"shikoku",2021,1,0
"shikoku",2021,2,0
"shikoku",2021,3,0
"shikoku",2021,4,0
"shikoku",2021,5,0
"shikoku",2021,6,0
"shikoku",2021,7,0
"shikoku",2021,8,0
"shikoku",2021,9,0
"shikoku",2021,10,0
"shikoku",2021,11,0
"shikoku",2021,12,0
"shikoku",2022,1,0
"shikoku",2022,2,0
"shikoku",2022,3,0
"shikoku",2022,4,4
"shikoku",2022,5,6
"shikoku",2022,6,0
"shikoku",2022,7,0
"shikoku",2022,8,0
"shikoku",2022,9,0
"shikoku",2022,10,0
"shikoku",2022,11,0
"shikoku",2022,12,0
"shikoku",2023,1,0
"shikoku",2023,2,0
"shikoku",2023,3,3
"shikoku",2023,4,15
"shikoku",2023,5,13
"shikoku",2023,6,4
"shikoku",2023,7,1
"shikoku",2023,8,0
"shikoku",2023,9,0
"shikoku",2023,10,2
"shikoku",2023,11,0
"shikoku",2023,12,1
"tohoku",2016,4,0
"tohoku",2016,5,0
"tohoku",2016,6,0
"tohoku",2016,7,0
"tohoku",2016,8,0
"tohoku",2016,9,0
"tohoku",2016,10,0
"tohoku",2016,11,0
"tohoku",2016,12,0
"tohoku",2017,1,0
"tohoku",2017,2,0
"tohoku",2017,3,0
"tohoku",2017,4,0
"tohoku",2017,5,0
"tohoku",2017,6,0
"tohoku",2017,7,0
"tohoku",2017,8,0
"tohoku",2017,9,0
"tohoku",2017,10,0
"tohoku",2017,11,0
"tohoku",2017,12,0
"tohoku",2018,1,0
"tohoku",2018,2,0
"tohoku",2018,3,0
"tohoku",2018,4,0
"tohoku",2018,5,0
"tohoku",2018,6,0
"tohoku",2018,7,0
"tohoku",2018,8,0
"tohoku",2018,9,0
"tohoku",2018,10,0
"tohoku",2018,11,0
"tohoku",2018,12,0
"tohoku",2019,1,0
"tohoku",2019,2,0
"tohoku",2019,3,0
"tohoku",2019,4,0
"tohoku",2019,5,0
"tohoku",2019,6,0
"tohoku",2019,7,0
"tohoku",2019,8,0
"tohoku",2019,9,0
"tohoku",2019,10,0
"tohoku",2019,11,0
"tohoku",2019,12,0
"tohoku",2020,1,0
"tohoku",2020,2,0
"tohoku",2020,3,0
"tohoku",2020,4,0
"tohoku",2020,5,0
"tohoku",2020,6,0
"tohoku",2020,7,0
"tohoku",2020,8,0
"tohoku",2020,9,0
"tohoku",2020,10,0
"tohoku",2020,11,0
"tohoku",2020,12,0
"tohoku",2021,1,0
"tohoku",2021,2,0
"tohoku",2021,3,0
"tohoku",2021,4,0
"tohoku",2021,5,0
"tohoku",2021,6,0
"tohoku",2021,7,0
"tohoku",2021,8,0
"tohoku",2021,9,0
"tohoku",2021,10,0
"tohoku",2021,11,0
"tohoku",2021,12,0
"tohoku",2022,1,0
"tohoku",2022,2,0
"tohoku",2022,3,0
"tohoku",2022,4,5
"tohoku",2022,5,9
"tohoku",2022,6,0
"tohoku",2022,7,0
"tohoku",2022,8,0
"tohoku",2022,9,0
"tohoku",2022,10,0
"tohoku",2022,11,0
"tohoku",2022,12,0
"tohoku",2023,1,0
"tohoku",2023,2,0
"tohoku",2023,3,4
"tohoku",2023,4,5
"tohoku",2023,5,4
"tohoku",2023,6,2
"tohoku",2023,7,0
"tohoku",2023,8,0
"tohoku",2023,9,0
"tohoku",2023,10,0
"tohoku",2023,11,0
"tohoku",2023,12,0
